tool_slug,method,path,category,parent_scope,permission_evidence,doc_id,doc_url,contract_sha256
TIKTOK_ADS_GET_ASSET_BINDING_QUOTA,GET,/asset/bind/quota,Ad Account Management,1,direct_permission_table_mapping,1739659584022529,https://business-api.tiktok.com/portal/docs?id=1739659584022529,3fcb3f397a3351613c0566e63bbaba7de3d32282637ff265239d1c57711673d8
TIKTOK_ADS_LIST_BUSINESS_CENTER_ACCOUNT_COSTS,GET,/bc/account/cost/get,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1829079287639041,https://business-api.tiktok.com/portal/docs?id=1829079287639041,bb95d3c90164dfde1451600a11b89db203800624a3d24d6fb7f00cab4a60a7d9
TIKTOK_ADS_GET_BUSINESS_CENTER_ADVERTISER_ATTRIBUTES,GET,/bc/advertiser/attribute,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1775752357139457,https://business-api.tiktok.com/portal/docs?id=1775752357139457,6e5ee0ef6fec74745469193703d3fe1e480a4dd85994c777178bbbe224eb3765
TIKTOK_ADS_DISABLE_BUSINESS_CENTER_ADVERTISER,POST,/bc/advertiser/disable,Ad Account Management,1,direct_permission_table_mapping,1752349244331009,https://business-api.tiktok.com/portal/docs?id=1752349244331009,74d802fe5befc9bffbe400e6aa3d829a47780eb8ca0b07e0d1c6daeadeb675f8
TIKTOK_ADS_GET_ADVERTISER_QUALIFICATION,GET,/bc/advertiser/qualification/get,Ad Account Management,1,direct_permission_table_mapping,1770118680584194,https://business-api.tiktok.com/portal/docs?id=1770118680584194,c696bff72c963c956e3fa3f1b16b3a22044fee8fa930ec4275312e61a177c8e2
TIKTOK_ADS_CHECK_UNIONPAY_VERIFICATION_REQUIREMENT,GET,/bc/advertiser/unionpay_info/check,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1813772238056449,https://business-api.tiktok.com/portal/docs?id=1813772238056449,9aa9453f4ca7342bccd5118164e4ff74a4d25f47e821603ee6ee891b2075d1a2
TIKTOK_ADS_ASSIGN_TIKTOK_ACCOUNT_TO_ADVERTISER,POST,/bc/asset/advertiser/assign,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1846868953025538,https://business-api.tiktok.com/portal/docs?id=1846868953025538,9d5688fc93f8886ebff538627510616da9010fd22a71ed365089135562ef2faf
TIKTOK_ADS_LIST_ADVERTISER_ASSIGNED_TIKTOK_ACCOUNTS,GET,/bc/asset/advertiser/assigned,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1855027294743554,https://business-api.tiktok.com/portal/docs?id=1855027294743554,78ccb6a44226bf235871b3fbc6ab01bbd7fd4810e5dcb7db3a8ffe1ff60d7bb5
TIKTOK_ADS_UNASSIGN_TIKTOK_ACCOUNT_FROM_ADVERTISER,POST,/bc/asset/advertiser/unassign,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1855027260369921,https://business-api.tiktok.com/portal/docs?id=1855027260369921,144f681a3297baaada563d9d5eda0f8bca818907b32033bff88779f898ac3b80
TIKTOK_ADS_CREATE_BUSINESS_CENTER_ORGANIZATION_ACCOUNT,POST,/bc/oa/create,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1855027199571138,https://business-api.tiktok.com/portal/docs?id=1855027199571138,389a68abe879bb1eff17310de35eab0f38306a46d45cf39c87c87acca88c838f
TIKTOK_ADS_GET_BID_PROTECTION_DETAILS,GET,/report/bid_protection/detail/get,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1874392516418561,https://business-api.tiktok.com/portal/docs?id=1874392516418561,a1424d681dc7fa60f809838d01eb0bd5ac73c3b4dcdfc9c984a86b3229b4cbb4
TIKTOK_ADS_GET_BID_PROTECTION_STATUSES,GET,/report/bid_protection/status/get,Ad Account Management,1,selected_export_category_plus_first_level_inheritance,1874392512912449,https://business-api.tiktok.com/portal/docs?id=1874392512912449,ed5e55d9c8199fd5781e3b047ede949fda63237bb7c41d821c7e911ae0d5cc62
TIKTOK_ADS_BUSINESS_SPARK_AD_CREATE,POST,/business/spark_ad/create,Ads Management,2,selected_export_category_plus_first_level_inheritance,1829744071179330,https://business-api.tiktok.com/portal/docs?id=1829744071179330,e79299d9800b72d9552be44b3ef51c2755550987aec87225d8e739c18028a3d2
TIKTOK_ADS_CAMPAIGN_GMV_MAX_CREATIVE_UPDATE,POST,/campaign/gmv_max/creative/update,Ads Management,2,selected_export_category_plus_first_level_inheritance,1861260625563202,https://business-api.tiktok.com/portal/docs?id=1861260625563202,9d077f9afc9adc49cb4969945311060291576b4bf3b709d8e5a4a5506d6acdf0
TIKTOK_ADS_CAMPAIGN_GMV_MAX_SESSION_CREATE,POST,/campaign/gmv_max/session/create,Ads Management,2,selected_export_category_plus_first_level_inheritance,1835246967275522,https://business-api.tiktok.com/portal/docs?id=1835246967275522,3eccc89ae52262794735982b3019865576fd5462805dbe9f22efbb6bae3d83b3
TIKTOK_ADS_CAMPAIGN_GMV_MAX_SESSION_DELETE,POST,/campaign/gmv_max/session/delete,Ads Management,2,selected_export_category_plus_first_level_inheritance,1835246983475217,https://business-api.tiktok.com/portal/docs?id=1835246983475217,787506a4cf488f817f2dceef7b33fa6c0297c73ea56b596fb9a58c10f479ff75
TIKTOK_ADS_CAMPAIGN_GMV_MAX_SESSION_GET,GET,/campaign/gmv_max/session/get,Ads Management,2,selected_export_category_plus_first_level_inheritance,1835247031331842,https://business-api.tiktok.com/portal/docs?id=1835247031331842,961501f7635a62eee76b4a9ec9e95a793b1dd9bb5a1de53b610791f8462bb20a
TIKTOK_ADS_CAMPAIGN_GMV_MAX_SESSION_LIST,GET,/campaign/gmv_max/session/list,Ads Management,2,selected_export_category_plus_first_level_inheritance,1835246996436162,https://business-api.tiktok.com/portal/docs?id=1835246996436162,998acd282c3928c7d14832003656d9ad53e315cee1431a3930af9c08886d65a4
